Case Study,Organisation,URL,Category,Country,Date,Tags,Alternative URL
A new AI compass to refine the editorial agenda,La Silla Rota,https://latamjournalismreview.org/articles/a-new-ai-compass-to-refine-the-editorial-agenda/,"AI Strategy ,News production ,Audience Engagement,Analytics",Mexico,"April 16, 2026","News coverage,Trending Topics,Content strategy,Analytics",
How dmg media is building an AI ‘foundational layer’ for the newsroom,dmg media,https://wan-ifra.org/2026/04/how-dmg-media-is-building-an-ai-foundational-layer-for-the-newsroom/,"Workflow,News production ,News distribution,Generative AI",United Kingdom,"April 8, 2026","Agents,AI Hubs,Assisted journalism",
Bridging the China coverage gap: AI-powered news monitoring,CBC,https://www.journalismai.info/blog/bridging-the-china-coverage-gap-ai-powered-news-monitoring,Newsgathering,Taiwan,"March 9, 2026","News coverage,Automation",
How The Hindu is embedding AI into its data journalism,The Hindu,https://wan-ifra.org/2026/03/how-the-hindu-is-embedding-ai-into-its-data-journalism/,"Newsgathering,Audience Engagement,Generative AI",India,"March 5, 2026","Data journalism,Elections,Data Visualization,Investigations",
"From fine-tuning to smart prompting: Automating routine news at ANKA
",ANKA,https://www.journalismai.info/blog/from-fine-tuning-to-smart-prompting-automating-routine-news-at-anka,Newsgathering,Turkiye,"March 3, 2026","ChatGPT,Content production,Newsroom organization,Productivity",
Cutting through healthcare data complexity: An AI-powered research tool,Pointer,https://www.journalismai.info/blog/cutting-through-healthcare-data-complexity,News production ,The Netherlands,"February 24, 2026","RAG,Document analysis,GenAI",
These Brazilian newsrooms are using AI to expose online hate and track federal policy,"Gênero e Número, AzMina",https://latamjournalismreview.org/articles/these-brazilian-newsrooms-are-using-ai-to-expose-online-hate-and-track-federal-policy/,"Newsgathering,Investigations,Generative AI",Brazil,"February 23, 2026","Investigations,Diversity,LGBTQ+",
AI in Latin American newsrooms: Moving from exploration to editorial practice,"Diario UNO, La Silla Rota, Primicias",https://wan-ifra.org/2026/02/artificial-intelligence-in-latin-american-newsrooms-moving-from-exploration-to-editorial-practice/,"AI Strategy ,News production ","Argentina, Mexico, Ecuador","February 19, 2026","Editorial,GenAI,Smart assistant",
No programmers? No problem: These newsrooms are building their own AI,"ADN Sur, Búsqueda, OPI Santa Cruz",https://latamjournalismreview.org/articles/no-programmers-no-problem-these-newsrooms-are-building-their-own-ai/,"Generative AI,Research & Innovation ,Newsgathering,News production ","Argentina, Uruguay","February 11, 2026","Vibecoding,GenAI,Google Tools,Gemini,Data journalism,Archives,Assisted journalism",
How The New York Times uses a custom AI tool to track the “manosphere”,New York Times,https://www.niemanlab.org/2026/02/how-the-new-york-times-uses-a-custom-ai-tool-to-track-the-manosphere/,Newsgathering,United States,"February 11, 2026","Assisted journalism,Audio,Automation",
Inside the automation behind El Comercio’s election guides for Peru,El Comercio,https://latamjournalismreview.org/articles/inside-the-automation-behind-el-comercios-election-guides-for-peru/,"News production ,Newsgathering",Peru,"February 6, 2026","Agents,Automation,Data journalism",
How Dennik N tool continues to power publisher revenue,Denník N,https://newsinitiative.withgoogle.com/en-gb/resources/stories/how-dennik-n-tool-continues-to-power-publisher-revenue/,Revenue,Slovakia,"January 19, 2026","Audiences,Automation,Personalised content",
